date,time,stress
2015-02-09,13:04:59,0.114633
2015-02-09,13:05:01,0.104029
2015-02-09,13:05:02,0.12945
2015-02-09,13:05:03,0.126531
2015-02-09,13:05:04,0.124258
2015-02-09,13:05:05,0.106967
2015-02-09,13:05:06,0.126525
2015-02-09,13:05:07,0.123071
2015-02-09,13:05:10,0.103149
2015-02-09,13:05:11,0.143952
2015-02-09,13:05:12,0.149271
2015-02-09,13:05:13,0.114919
2015-02-09,13:05:14,0.11425
2015-02-09,13:05:15,0.112913
2015-02-09,13:05:16,0.113897
2015-02-09,13:18:02,0.115393
2015-02-09,13:18:03,0.129278
2015-02-09,13:18:04,0.126869
2015-02-09,13:18:09,0.110231
2015-02-09,13:18:10,0.141844
2015-02-09,13:18:11,0.127869
2015-02-09,13:18:12,0.127709
2015-02-09,13:18:13,0.124657
2015-02-09,13:18:14,0.107292
2015-02-09,13:18:15,0.108437
2015-02-09,13:18:16,0.10335
2015-02-09,13:18:17,0.108802
2015-02-09,13:18:19,0.132906
2015-02-09,13:18:20,0.128497
2015-02-09,13:18:21,0.128497
2015-02-09,13:18:22,0.142223
2015-02-09,13:18:23,0.142223
2015-02-09,13:18:24,0.133786
2015-02-09,13:18:25,0.129978
2015-02-09,13:18:26,0.12255
2015-02-09,13:18:27,0.121426
2015-02-09,13:18:28,0.138301
2015-02-09,13:18:29,0.12927
2015-02-09,13:18:30,0.114789
2015-02-09,13:18:31,0.106856
2015-02-09,13:18:32,0.104965
2015-02-09,13:18:34,0.104583
2015-02-09,13:19:04,0.109008
2015-02-09,13:19:08,0.130727
2015-02-09,13:19:09,0.155543
2015-02-09,13:19:10,0.180216
2015-02-09,13:19:11,0.198403
2015-02-09,13:19:12,0.200962
2015-02-09,13:19:13,0.21966
2015-02-09,13:19:14,0.273499
2015-02-09,13:19:15,0.283436
2015-02-09,13:19:16,0.312656
2015-02-09,13:19:18,0.326493
2015-02-09,13:19:19,0.313329
2015-02-09,13:19:20,0.361143
2015-02-09,13:19:21,0.336538
2015-02-09,13:19:22,0.275603
2015-02-09,13:19:23,0.275834
2015-02-09,13:19:24,0.256757
2015-02-09,13:19:25,0.262201
2015-02-09,13:19:26,0.251014
2015-02-09,13:19:27,0.28823
2015-02-09,13:19:28,0.264147
2015-02-09,13:19:29,0.247157
2015-02-09,13:19:30,0.220094
2015-02-09,13:19:31,0.18948
2015-02-09,13:19:32,0.192361
2015-02-09,13:19:33,0.198389
2015-02-09,13:19:35,0.196881
2015-02-09,13:19:36,0.216147
2015-02-09,13:19:37,0.199461
2015-02-09,13:19:38,0.214117
2015-02-09,13:19:39,0.227309
2015-02-09,13:19:40,0.250476
2015-02-09,13:19:41,0.240975
2015-02-09,13:19:42,0.272931
2015-02-09,13:19:43,0.325187
2015-02-09,13:19:44,0.300102
2015-02-09,13:19:45,0.319608
2015-02-09,13:19:46,0.301258
2015-02-09,13:19:47,0.307344
2015-02-09,13:19:48,0.313946
2015-02-09,13:19:50,0.297579
2015-02-09,13:19:51,0.294873
2015-02-09,13:19:52,0.240939
2015-02-09,13:19:53,0.229684
2015-02-09,13:19:54,0.225803
2015-02-09,13:19:55,0.23197
2015-02-09,13:19:56,0.221606
2015-02-09,13:19:57,0.134691
2015-02-09,13:19:58,0.139235
2015-02-09,13:19:59,0.136158
2015-02-09,13:20:00,0.138422
2015-02-09,13:20:01,0.12819
2015-02-09,13:20:02,0.124399
2015-02-09,13:20:03,0.124853
2015-02-09,13:20:04,0.115471
2015-02-09,13:20:05,0.128785
2015-02-09,13:20:06,0.134606
2015-02-09,13:20:07,0.140149
2015-02-09,13:20:08,0.171832
2015-02-09,13:20:09,0.170154
2015-02-09,13:20:10,0.171459
2015-02-09,13:20:11,0.163857
2015-02-09,13:20:12,0.154442
2015-02-09,13:20:13,0.133868
2015-02-09,13:20:14,0.115503
2015-02-09,13:20:15,0.120872
2015-02-09,13:20:16,0.114661
2015-02-09,13:20:17,0.117137
2015-02-09,13:20:18,0.112035
2015-02-09,13:20:19,0.110572
2015-02-09,13:21:40,0.109856
2015-02-09,13:21:41,0.108384
2015-02-09,13:21:42,0.109511
2015-02-09,13:21:43,0.148958
2015-02-09,13:21:44,0.128979
2015-02-09,13:21:45,0.170044
2015-02-09,13:21:46,0.181472
2015-02-09,13:21:47,0.259517
2015-02-09,13:21:48,0.242596
2015-02-09,13:21:49,0.214376
2015-02-09,13:21:50,0.209195
2015-02-09,13:21:51,0.160609
2015-02-09,13:21:52,0.153155
2015-02-09,13:21:53,0.164486
2015-02-09,13:21:54,0.164651
2015-02-09,13:21:55,0.166607
2015-02-09,13:21:56,0.15774
2015-02-09,13:21:57,0.117524
2015-02-09,13:21:58,0.116786
2015-02-09,13:21:59,0.14269
2015-02-09,13:22:00,0.143946
2015-02-09,13:26:30,0.105722
2015-02-09,13:26:33,0.116229
2015-02-09,13:26:34,0.115968
2015-02-09,13:26:51,0.107304
2015-02-09,13:26:52,0.131003
2015-02-09,13:26:53,0.141926
2015-02-09,13:26:54,0.153977
2015-02-09,13:26:55,0.164243
2015-02-09,13:26:56,0.175258
2015-02-09,13:26:57,0.198026
2015-02-09,13:26:58,0.196658
2015-02-09,13:26:59,0.187813
2015-02-09,13:27:00,0.171103
2015-02-09,13:27:01,0.102543
2015-02-09,13:28:02,0.111525
